Men,Women,Total,Tendency
2,4,6,NA
60,129,189,women
2,5,7,NA
2,1,3,NA
0,5,5,NA
894,41,935,men
9,29,38,women
1,4,5,NA
19,32,51,women
0,1,1,NA
37,33,70,NA
113,174,287,women
1,0,1,NA
30,59,89,women
1,1,2,NA
18,20,38,NA
4,11,15,NA
566,1182,1748,women
2,4,6,NA
72,91,163,women
0,35,35,women
213,561,774,women
9,28,37,women
12,14,26,NA
0,3,3,NA
26,17,43,men
271,153,424,men
1,2,3,NA
185,168,353,NA
0,11,11,NA
161,130,291,men
6,2,8,NA
30,198,228,women
4,7,11,NA
51,334,385,women
1,2,3,NA
1,0,1,NA
27,36,63,women
10,17,27,NA
10,33,43,women
2,15,17,NA
256,288,544,NA
497,337,834,men
6,7,13,NA
57,32,89,men
1,1,2,NA
7,8,15,NA
103,187,290,women
0,1,1,NA
80,259,339,women
3,3,6,NA
2,14,16,NA
4,1,5,NA
31,28,59,NA
8,9,17,NA
0,7,7,NA
0,20,20,NA
1,2,3,NA
0,1,1,NA
0,2,2,NA
4,5,9,NA
6,12,18,NA
6,15,21,NA
1,0,1,NA
0,1,1,NA
1,4,5,NA
0,1,1,NA
3,6,9,NA
1,0,1,NA
0,7,7,NA
0,2,2,NA
13,12,25,NA
1,4,5,NA
45,7,52,men
1,0,1,NA
0,2,2,NA
0,1,1,NA
129,358,487,women
518,1731,2249,women
101,344,445,women
121,315,436,women
13,22,35,women
21,2,23,NA
0,1,1,NA
1,0,1,NA
1,4,5,NA
10,2,12,NA
1,0,1,NA
0,1,1,NA
11,62,73,women
1,0,1,NA
50,192,242,women
1,13,14,NA
0,2,2,NA
0,7,7,NA
0,1,1,NA
0,2,2,NA
0,3,3,NA
0,2,2,NA
1,0,1,NA
23,21,44,NA
5,18,23,NA
13,19,32,women
13,14,27,NA
7,15,22,NA
32,39,71,NA
2,4,6,NA
1,0,1,NA
1,2,3,NA
14,16,30,NA
0,1,1,NA
0,2,2,NA
4,2,6,NA
0,1,1,NA
12,27,39,women
23,25,48,NA
162,301,463,women
9,47,56,women
14,14,28,NA
1,0,1,NA
2,5,7,NA
0,3,3,NA
0,1,1,NA
3,4,7,NA
12,20,32,women
12,24,36,women
0,1,1,NA
1,0,1,NA
1,22,23,NA
2,2,4,NA
0,1,1,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
11,22,33,women
0,1,1,NA
0,3,3,NA
0,1,1,NA
18,28,46,women
4,9,13,NA
0,2,2,NA
1,6,7,NA
10,24,34,women
2,6,8,NA
1,5,6,NA
0,4,4,NA
6,14,20,NA
1,1,2,NA
3,9,12,NA
1,0,1,NA
2,9,11,NA
0,2,2,NA
3,2,5,NA
2,6,8,NA
2,2,4,NA
0,2,2,NA
3,1,4,NA
0,2,2,NA
0,2,2,NA
3,3,6,NA
2,10,12,NA
0,3,3,NA
3,3,6,NA
3,2,5,NA
12,20,32,women
2,7,9,NA
11,31,42,women
0,1,1,NA
0,4,4,NA
3,2,5,NA
2,0,2,NA
1,3,4,NA
6,8,14,NA
0,12,12,NA
11,32,43,women
0,2,2,NA
1,5,6,NA
6,11,17,NA
1,3,4,NA
84,68,152,men
0,1,1,NA
1,1,2,NA
0,1,1,NA
8,25,33,women
5,7,12,NA
137,467,604,women
1,5,6,NA
1,0,1,NA
1,1,2,NA
14,200,214,women
0,3,3,NA
6,5,11,NA
0,1,1,NA
1,10,11,NA
21,53,74,women
2,5,7,NA
71,231,302,women
1,1,2,NA
0,1,1,NA
3,15,18,NA
0,1,1,NA
21,60,81,women
55,2,57,men
0,2,2,NA
0,3,3,NA
303,386,689,women
1,0,1,NA
1,0,1,NA
48,598,646,women
16,32,48,women
15,6,21,NA
1,4,5,NA
0,1,1,NA
0,12,12,NA
23,87,110,women
1,4,5,NA
0,3,3,NA
8,10,18,NA
5,22,27,NA
4,232,236,women
0,1,1,NA
37,104,141,women
0,11,11,NA
0,1,1,NA
50,85,135,women
0,15,15,NA
7,4,11,NA
3,8,11,NA
16,27,43,women
24,24,48,NA
1,0,1,NA
3,3,6,NA
0,2,2,NA
0,1,1,NA
0,1,1,NA
0,2,2,NA
1,5,6,NA
2,0,2,NA
0,2,2,NA
0,3,3,NA
1,5,6,NA
61,367,428,women
10,8,18,NA
30,53,83,women
0,6,6,NA
4,28,32,women
0,2,2,NA
11,7,18,NA
0,12,12,NA
38,87,125,women
0,8,8,NA
0,1,1,NA
1,0,1,NA
2,1,3,NA
2,30,32,women
1,11,12,NA
0,1,1,NA
0,1,1,NA
34,72,106,women
2,41,43,women
10,17,27,NA
7,96,103,women
4,10,14,NA
4,2,6,NA
1,2,3,NA
13,20,33,women
0,1,1,NA
6,7,13,NA
1,1,2,NA
0,3,3,NA
1,0,1,NA
4,0,4,NA
4,1,5,NA
6,41,47,women
3,0,3,NA
1,15,16,NA
0,1,1,NA
0,2,2,NA
1,0,1,NA
0,3,3,NA
0,1,1,NA
1,2,3,NA
1,0,1,NA
7,8,15,NA
0,2,2,NA
21,19,40,NA
1,0,1,NA
1078,943,2021,NA
18,48,66,women
26,50,76,women
79,161,240,women
43,72,115,women
147,196,343,women
257,3334,3591,women
65,161,226,women
1086,1432,2518,women
131,117,248,NA
471,440,911,NA
43,237,280,women
3,2,5,NA
429,745,1174,women
48,51,99,NA
2,1,3,NA
4,1,5,NA
61,77,138,women
26,23,49,NA
2,0,2,NA
66,85,151,women
5,9,14,NA
0,1,1,NA
16,3,19,NA
1,2,3,NA
3,1,4,NA
13,14,27,NA
55,100,155,women
472,950,1422,women
2,0,2,NA
29,40,69,women
33,83,116,women
39,14,53,men
0,3,3,NA
4,11,15,NA
163,244,407,women
0,5,5,NA
58,104,162,women
4,1,5,NA
2,1,3,NA
28,64,92,women
10,19,29,NA
115,207,322,women
2,16,18,NA
287,285,572,NA
3,35,38,women
26,43,69,women
2,0,2,NA
12,21,33,women
23,52,75,women
5,4,9,NA
0,1,1,NA
0,1,1,NA
132,202,334,women
35,82,117,women
0,1,1,NA
1,2,3,NA
1,0,1,NA
7,20,27,NA
1,1,2,NA
0,1,1,NA
3,13,16,NA
1,0,1,NA
1,1,2,NA
1,6,7,NA
0,5,5,NA
0,2,2,NA
0,1,1,NA
1,0,1,NA
1,0,1,NA
1,2,3,NA
8,8,16,NA
13,19,32,women
224,306,530,women
0,1,1,NA
52,66,118,women
3,13,16,NA
0,1,1,NA
1,1,2,NA
0,1,1,NA
1,0,1,NA
3,6,9,NA
16,30,46,women
6,4,10,NA
0,1,1,NA
0,1,1,NA
1,55,56,women
