Year,Month,Nauseadrugs,Frequency
2010,1,89,1092
2010,2,110,1036
2010,3,129,1322
2010,4,90,1444
2010,5,111,1489
2010,6,110,1584
2010,7,101,1504
2010,8,191,1771
2010,9,145,1600
2010,10,146,1637
2010,11,202,1698
2010,12,250,1491
2011,1,292,1547
2011,2,252,1580
2011,3,405,1790
2011,4,403,2010
2011,5,370,2116
2011,6,367,2169
2011,7,303,1639
2011,8,351,1884
2011,9,337,1723
2011,10,379,1608
2011,11,340,1671
2011,12,305,1242
2012,1,125,608
2012,2,319,1598
2012,3,400,1688
2012,4,706,1822
2012,5,785,1820
2012,6,386,1561
2012,7,108,573
2012,8,61,707
2012,9,63,2068
2012,10,84,2355
2012,11,69,2313
2012,12,75,2034
2013,1,58,2960
2013,2,76,2021
2013,3,49,2225
2013,4,76,1989
2013,5,35,2254
2013,6,65,1900
2013,7,8,1003
2013,8,6,829
2013,9,5,1457
