Drug_id	Ingredient_id
1	1
2	2
3	3
2469	3
4	4
138	4
4558	4
94478	4
6	5
7	6
244398	6
10	8
185	8
545	8
1145	8
1547	8
2132	8
4249	8
34035	8
11	9
10052	9
13	10
39814	10
244862	10
13	11
382	11
1034	11
6848	11
8046	11
12656	11
244862	11
351187	11
15	12
16	13
17	14
1315	14
15134	14
35393	14
50656	14
149775	14
154623	14
174216	14
314962	14
352874	14
354525	14
17	15
235	15
1840	15
2645	15
2708	15
7428	15
10518	15
35393	15
96462	15
97729	15
125786	15
203721	15
246885	15
314645	15
350073	15
18	16
19	17
20	18
247540	18
22	20
46	20
68	20
101	20
1986	20
7428	20
54107	20
185611	20
197889	20
246961	20
25	21
8971	21
59110	21
99013	21
25	22
25577	22
59110	22
186244	22
324995	22
362382	22
370026	22
26	23
27	24
33	27
36	29
37	30
839	30
352028	30
38	31
211	31
41	32
581	32
1828	32
2423	32
5079	32
5125	32
6674	32
7857	32
8611	32
10984	32
13912	32
16422	32
30027	32
171518	32
243962	32
244532	32
248509	32
352651	32
43	33
14552	33
94776	33
45	35
4244	35
47	37
47	38
246014	38
49	39
52	41
80	41
171	41
245537	41
57	45
58	46
7581	46
100425	46
63	50
366	50
648	50
1711	50
64	51
69	55
5125	55
70	56
3403	56
244822	56
247680	56
74	58
308	58
1010	58
2887	58
3392	58
51291	58
130134	58
158800	58
245218	58
349995	58
77	61
77	62
78	63
79	64
83	68
85	69
86	70
328	70
5637	70
14784	70
30189	70
128449	70
249543	70
322121	70
89	72
90	73
91	74
92	75
324995	75
97	80
106	80
4525	80
7846	80
12387	80
20195	80
246484	80
98	81
92985	81
104	84
2925	84
3379	84
37902	84
150095	84
176948	84
350045	84
106	85
297	85
156658	85
107	87
581	87
6674	87
108	88
109	89
112	91
9532	91
114	93
115	94
12169	94
120	96
122	98
123	99
125	100
126	101
127	102
130	104
284308	104
131	105
139	110
141	112
10340	112
243975	112
142	113
1828	113
145	115
246446	115
147	116
148	117
663	117
149	118
151	120
156	124
157	125
4537	125
121047	125
157	126
158	127
34047	127
163	130
41819	130
141548	130
174	139
3448	139
3872	139
12047	139
28964	139
103714	139
249132	139
249145	139
280896	139
326614	139
354418	139
367094	139
174	140
1844	140
28964	140
246538	140
282504	140
317019	140
174	141
246538	141
282504	141
175	142
4236	142
176	143
181	147
264	147
188	154
200	165
6174	165
53261	165
120155	165
200	166
6174	166
53261	166
120155	166
357160	166
201	167
27193	167
91777	167
201	168
8283	168
206	171
13179	171
38649	171
96892	171
107350	171
110498	171
243871	171
245858	171
281633	171
206	172
1270	172
22126	172
208	175
767	175
892	175
6590	175
8602	175
159900	175
282091	175
316208	175
209	176
4923	176
6293	176
219	182
675	182
1110	182
2942	182
9104	182
9910	182
12826	182
17927	182
21112	182
22741	182
91047	182
91488	182
92202	182
101260	182
107632	182
114575	182
116563	182
117168	182
130181	182
139496	182
141814	182
145427	182
174712	182
178460	182
182778	182
189785	182
200336	182
202836	182
243710	182
246258	182
246611	182
247782	182
249145	182
281040	182
281996	182
282535	182
283902	182
311455	182
313411	182
313778	182
316429	182
316642	182
318989	182
320291	182
323847	182
327038	182
328083	182
329491	182
351259	182
351905	182
356279	182
356655	182
234	195
237	197
13086	197
242	203
254	213
119251	213
257	216
259	218
267	225
273	229
249892	229
274	230
9011	230
276	231
1624	231
3408	231
5770	231
8283	231
12249	231
32533	231
54240	231
97072	231
99263	231
104354	231
174062	231
187950	231
248963	231
249145	231
280814	231
283024	231
324844	231
362363	231
276	232
1624	232
3408	232
12249	232
104354	232
280814	232
329107	232
276	233
3408	233
12249	233
280814	233
276	234
1624	234
3408	234
12249	234
46364	234
104354	234
280814	234
324844	234
362363	234
276	235
3408	235
12249	235
183559	235
187950	235
283024	235
363480	235
285	241
13880	241
286	242
293	248
297	253
9181	253
244273	253
329482	253
303	255
4378	255
57332	255
105164	255
170579	255
179244	255
244429	255
304	256
245551	256
281495	256
310	260
53796	260
315	268
318	271
320	273
6424	273
245353	273
322	275
244308	275
283243	275
325	276
246581	276
328	277
322121	277
330	280
4132	280
5709	280
98133	280
105541	280
183362	280
245554	280
336	282
1999	282
337	283
354106	283
348	290
356	295
675	295
3392	295
15784	295
21112	295
58784	295
91488	295
98133	295
116563	295
133037	295
160281	295
174712	295
193126	295
195697	295
243710	295
244068	295
245878	295
249145	295
319910	295
327390	295
351905	295
353853	295
359	298
4714	298
371	308
372	309
376	311
1500	311
109534	311
322978	311
378	312
41584	312
189784	312
