Symptom_id	Is_severe	Name
3966	0	Abasia
571331	0	Abdomen crushing
2951	0	Abdominal abscess
52654	0	Abdominal adhesions
212273	0	Abdominal cavity drainage
218232	0	Abdominal compartment syndrome
501	0	Abdominal discomfort
1889	0	Abdominal distension
2220	0	Abdominal hernia
68103	0	Abdominal hernia obstructive
48785	0	Abdominal hernia repair
1300	0	Abdominal infection
240384	0	Abdominal injury
3920	0	Abdominal lymphadenopathy
68699	0	Abdominal mass
31483	0	Abdominal neoplasm
80037	0	Abdominal operation
317	0	Abdominal pain
525	0	Abdominal pain lower
148	0	Abdominal pain upper
780963	0	Abdominal panniculectomy
26576	0	Abdominal rigidity
210754	0	Abdominal sepsis
541831	0	Abdominal strangulated hernia
23953	0	Abdominal symptom
7167	0	Abdominal tenderness
14151	0	Abdominal wall abscess
800173	0	Abdominal wall anomaly
379291	0	Abdominal wall cyst
307109	0	Abdominal wall disorder
48445	0	Abdominal wall haematoma
57307	0	Abdominal wall haemorrhage
548169	0	Abdominal wall mass
761065	0	Abdominal wall neoplasm
218684	0	Abdominal wound dehiscence
226330	0	Abdominoplasty
289	0	Abnormal behaviour
5326	0	Abnormal clotting factor
15	0	Abnormal dreams
3014	0	Abnormal faeces
705868	0	Abnormal labour
896	0	Abnormal loss of weight
550753	0	Abnormal palmar/plantar creases
413552	0	Abnormal precordial movement
6395	0	Abnormal sensation in eye
27210	0	Abnormal sleep-related event
29057	0	Abnormal weight gain
29663	0	Abnormal withdrawal bleeding
716706	0	ABO incompatibility
770829	0	Aborted pregnancy
4021	0	Abortion
594468	0	Abortion complete
545829	0	Abortion early
19277	0	Abortion incomplete
1324	0	Abortion induced
123793	0	Abortion induced complete
30903	0	Abortion induced incomplete
642490	0	Abortion infected
48731	0	Abortion missed
453551	0	Abortion of ectopic pregnancy
91	0	Abortion spontaneous
906009	0	Abortion spontaneous complete
273823	0	Abortion spontaneous incomplete
90614	0	Abortion threatened
709	0	Abscess
219070	0	Abscess bacterial
33966	0	Abscess drainage
219071	0	Abscess fungal
72735	0	Abscess intestinal
102086	0	Abscess jaw
24357	0	Abscess limb
287214	0	Abscess neck
486416	0	Abscess of salivary gland
33956	0	Abscess oral
490117	0	Abscess rupture
551665	0	Abscess soft tissue
248928	0	Abscess sterile
326550	0	Abulia
223361	0	Acalculia
438008	0	Acanthamoeba infection
501205	0	Acanthamoeba keratitis
221570	0	Acanthosis
685589	0	Acanthosis nigricans
110782	0	Acarodermatitis
293196	0	Accelerated hypertension
827864	0	Accelerated idioventricular rhythm
609527	0	Accessory auricle
406644	0	Accessory spleen
4495	0	Accident
14728	0	Accident at home
811	0	Accident at work
229291	0	Accidental death
226133	0	Accidental device ingestion
1070	0	Accidental exposure to product
1663	0	Accidental exposure to product by child
1699	0	Accidental overdose
29054	0	Accidental poisoning
43740	0	Accidental underdose
119254	0	Accommodation disorder
211966	0	Acetabulum fracture
351593	0	Acetonaemia
276804	0	Acid base balance abnormal
258544	0	Acid fast bacilli infection
793241	0	Acid-base balance disorder mixed
3820	0	Acidosis
623396	0	Acidosis hyperchloraemic
272599	0	Acinetobacter bacteraemia
557357	0	Acinetobacter infection
100789	0	Acinetobacter test positive
2144	0	Acne
763559	0	Acne conglobata
16985	0	Acne cystic
708801	0	Acoustic neuroma
374783	0	Acquired acrodermatitis enteropathica
609700	0	Acquired claw toe
818239	0	Acquired cystic kidney disease
334626	0	Acquired diaphragmatic eventration
652019	0	Acquired epidermolysis bullosa
684945	0	Acquired gene mutation
422104	0	Acquired haemophilia
306088	0	Acquired haemophilia with anti FVIII, XI, or XIII
671712	0	Acquired hydrocele
8235	0	Acquired immunodeficiency syndrome
238486	0	Acquired macroglossia
572415	0	Acquired oesophageal web
345683	0	Acquired phimosis
108278	0	Acquired pigmented retinopathy
290423	0	Acquired porphyria
523778	0	Acquired syringomyelia
332876	0	Acquired tracheo-oesophageal fistula
377689	0	Acquired Von Willebrand^s disease
40291	0	Acrochordon
473142	0	Acrodynia
319272	0	Acromegaly
855137	0	Actinic elastosis
210633	0	Actinic keratosis
550628	0	Actinomyces test positive
14560	0	Actinomycosis
646115	0	Actinomycotic skin infection
48613	0	Activated partial thromboplastin time abnormal
1264	0	Activated partial thromboplastin time prolonged
265561	0	Activated partial thromboplastin time shortened
109726	0	Activation syndrome
3332	0	Activities of daily living impaired
47267	0	Acute abdomen
344225	0	Acute chest syndrome
5920	0	Acute coronary syndrome
328074	0	Acute disseminated encephalomyelitis
790330	0	Acute endocarditis
440539	0	Acute fatty liver of pregnancy
17227	0	Acute febrile neutrophilic dermatosis
27443	0	Acute generalised exanthematous pustulosis
20370	0	Acute graft versus host disease
112760	0	Acute graft versus host disease in intestine
2123	0	Acute graft versus host disease in liver
112756	0	Acute graft versus host disease in skin
572657	0	Acute haemorrhagic conjunctivitis
24376	0	Acute haemorrhagic oedema of infancy
1775	0	Acute hepatic failure
409895	0	Acute hepatitis B
104359	0	Acute hepatitis C
16913	0	Acute HIV infection
343479	0	Acute interstitial pneumonitis
210	0	Acute kidney injury
291011	0	Acute left ventricular failure
84935	0	Acute leukaemia
3459	0	Acute lung injury
16703	0	Acute lymphocytic leukaemia
72651	0	Acute lymphocytic leukaemia recurrent
255894	0	Acute monocytic leukaemia
1913	0	Acute myeloid leukaemia
111196	0	Acute myeloid leukaemia recurrent
441707	0	Acute myelomonocytic leukaemia
2025	0	Acute myocardial infarction
265489	0	Acute painful neuropathy of rapid glycaemic control
1879	0	Acute phase reaction
322884	0	Acute phosphate nephropathy
46056	0	Acute polyneuropathy
13060	0	Acute prerenal failure
5478	0	Acute promyelocytic leukaemia
633359	0	Acute promyelocytic leukaemia differentiation syndrome
26868	0	Acute psychosis
34722	0	Acute pulmonary histoplasmosis
21560	0	Acute pulmonary oedema
2071	0	Acute respiratory distress syndrome
681	0	Acute respiratory failure
83574	0	Acute right ventricular failure
395160	0	Acute sinusitis
41061	0	Acute stress disorder
378352	0	Acute tonsillitis
253099	0	Acute vestibular syndrome
292504	0	Adactyly
413838	0	Adams-Stokes syndrome
821913	0	ADAMTS13 activity decreased
21215	0	Addison^s disease
